cheese_name,cheese_url,tasting_notes,age,country_of_origin,milk_type,organic,pasteurisation,region,strength_of_cheese,style_of_cheese
Aettis,https://www.thecheesesociety.co.uk/product/aettis/,,3 - 4 Weeks +,Switzerland,Cows,No,Unpasteurised,Jura,Medium,Hard
Alpine Meadows,https://www.thecheesesociety.co.uk/product/alpine-meadows/,,12 Months,Switzerland,Cows,No,Unpasteurised,Emmental,Medium - Strong,Hard
Baron Bigod Brie,https://www.thecheesesociety.co.uk/product/baron-bigod-brie-cheese/,,,England,Cows,No,Pasteurised,"Bungay, Suffolk",Medium,Soft
Bath Soft,https://www.thecheesesociety.co.uk/product/bath-soft/,,,England,Cows,Yes,Pasteurised,,Mild - Medium,Soft & Bloomy
Blackbomber Extra Mature,https://www.thecheesesociety.co.uk/product/cheese-blackbomber/,,8 Months +,Wales,Cows,No,Pasteurised,Snowdonia,Medium - Strong,Hard
Blacksticks Blue,https://www.thecheesesociety.co.uk/product/blacksticks-blue-cheese/,,2 Months +,England,Cows,No,Pasteurised,"Preston, Lancashire",Medium,Soft Blue
Bleu des Causses AOC,https://www.thecheesesociety.co.uk/product/bleu-des-causses-aoc/,,3 Months +,France,Cows,No,Unpasteurised,Aveyron,Medium,Soft Blue
Blue Monday,https://www.thecheesesociety.co.uk/product/blue-monday/,,6 - 8 Weeks,England,Cows,No,Pasteurised,"Thirsk, Yorkshire",Medium,Creamy
Brie de Meaux Dongé,https://www.thecheesesociety.co.uk/product/brie-de-meaux-aoc/,,7 - 9 Weeks +,France,Cows,No,Pasteurised,Ille De France,Medium - Strong,Soft
Ribblesdale Honey Goat,https://www.thecheesesociety.co.uk/product/ribblesdale-honey-goat/,,2 - 3 Months +,,Goats,No,Pasteurised,Burgos,Mild - Medium,Soft
Cahill’s Porter,https://www.thecheesesociety.co.uk/product/cahills-porter/,,12 Weeks +,Ireland,Cows,No,Pasteurised,Limerick,Medium,Semi - Firm
Cashel Blue,https://www.thecheesesociety.co.uk/product/cheese-cashel-blue/,,8 Weeks +,Ireland,Cows,No,Pasteurised,Co. Tipperary,Medium,Blue
Chocolate & Chilli Cheddar – Easter Special,https://www.thecheesesociety.co.uk/product/chocolate-and-chilli-cheddar/,,12 Months,England,Cows,No,Unpasteurised,Emmental,Medium - Strong,Hard
Colston Bassett Stilton PDO,https://www.thecheesesociety.co.uk/product/colston-bassett-stilton-pdo/,,8 - 12 Weeks +,England,Cows,No,Pasteurised,Nottinghamshire,Medium - Strong,Blue
Colston Bassett Stilton PDO Wheel,https://www.thecheesesociety.co.uk/product/colston-bassett-stilton-pdo-2/,,8 - 12 Weeks +,England,Cows,No,Pasteurised,Nottinghamshire,Medium - Strong,Blue
Comte AOC 24 Months,https://www.thecheesesociety.co.uk/product/comte-aoc/,,24 Months,France,Cows,No,Unpasteurised,Jura,Medium - Strong,Firm
Cornish Yarg,https://www.thecheesesociety.co.uk/product/cornish-yarg/,,8 Weeks +,England,Cows,No,Pasteurised,Cornwall,Mild - Medium,Crumbly
Cote Hill Blue,https://www.thecheesesociety.co.uk/product/cote-hill-blue/,,4 - 8 Weeks +,England,Cows,No,Pasteurised,"Osgoodby, Lincolnshire",Medium,Blue
Crème Chèvre,https://www.thecheesesociety.co.uk/product/creme-chevre/,,1 Month +,Switzerland,Goats,No,Unpasteurised,Emmental,Mild - Medium,Soft
Dambuster,https://www.thecheesesociety.co.uk/product/dambuster/,,4 Months +,England,Cows,No,Pasteurised,"Preston, Lancashire",Medium,Firm
Kidderton Ash,https://www.thecheesesociety.co.uk/product/kidderton-ash-2/,,4 - 5 Weeks +,England,Goats,No,Pasteurised,"Salisbury, Wiltshire",Medium,Soft
Delice de Bourgogne,https://www.thecheesesociety.co.uk/product/delice-de-bourgogne/,,6 Weeks +,France,Cows,No,Pasteurised,Burgundy,Medium,Soft
Eggleston,https://www.thecheesesociety.co.uk/product/eggleston/,,4 Weeks +,England,Cows,No,Unpasteurised,,Medium,Washed Rind
Epoisses Halves,https://www.thecheesesociety.co.uk/product/half-epoisses-de-bourgogne-aoc/,,6 Weeks +,France,Cows,No,Unpasteurised,"Cote D'Or, Burgundy",Strong,Washed Rind
Ferme Chévre,https://www.thecheesesociety.co.uk/product/ferme-chevre/,,4 - 5 Weeks +,France,Goats,No,Pasteurised,Nantes,Medium,Soft
Fleur des Alpes,https://www.thecheesesociety.co.uk/product/fleur-des-alpes/,,6 - 8 Weeks,France,Cows,No,Pasteurised,Savoy,Medium - Strong,Washed Rind
Gjetost Brown Cheese,https://www.thecheesesociety.co.uk/product/norwegian-brown-cheese/,,6 - 8 Weeks,Norway,Mixed Milk,No,Pasteurised,Oslo,Medium,Semi - Firm
Goat Gouda with Fenugreek,https://www.thecheesesociety.co.uk/product/goat-gouda-with-fenugreek/,,8 - 12 Weeks +,Holland,Goats,No,Pasteurised,Woerden,Medium,Semi - Firm
Godminster Organic Cheddar Heart,https://www.thecheesesociety.co.uk/product/godminster-organic-heart/,,8 Months +,England,Cows,Yes,Pasteurised,"Bruton, Somerset",Medium,Firm
Gorgonzola Dolce DOP,https://www.thecheesesociety.co.uk/product/gorgonzola-dolce-dop/,,3 - 6 Months +,Italy,Cows,No,Pasteurised,Lombardia & Piedmont,Medium,Soft Blue
Aettis,https://www.thecheesesociety.co.uk/product/aettis/,,3 - 4 Weeks +,Switzerland,Cows,No,Unpasteurised,Jura,Medium,Hard
Alpine Meadows,https://www.thecheesesociety.co.uk/product/alpine-meadows/,,12 Months,Switzerland,Cows,No,Unpasteurised,Emmental,Medium - Strong,Hard
Baron Bigod Brie,https://www.thecheesesociety.co.uk/product/baron-bigod-brie-cheese/,,,England,Cows,No,Pasteurised,"Bungay, Suffolk",Medium,Soft
Bath Soft,https://www.thecheesesociety.co.uk/product/bath-soft/,,,England,Cows,Yes,Pasteurised,,Mild - Medium,Soft & Bloomy
Blackbomber Extra Mature,https://www.thecheesesociety.co.uk/product/cheese-blackbomber/,,8 Months +,Wales,Cows,No,Pasteurised,Snowdonia,Medium - Strong,Hard
Blacksticks Blue,https://www.thecheesesociety.co.uk/product/blacksticks-blue-cheese/,,2 Months +,England,Cows,No,Pasteurised,"Preston, Lancashire",Medium,Soft Blue
Bleu des Causses AOC,https://www.thecheesesociety.co.uk/product/bleu-des-causses-aoc/,,3 Months +,France,Cows,No,Unpasteurised,Aveyron,Medium,Soft Blue
Blue Monday,https://www.thecheesesociety.co.uk/product/blue-monday/,,6 - 8 Weeks,England,Cows,No,Pasteurised,"Thirsk, Yorkshire",Medium,Creamy
Brie de Meaux Dongé,https://www.thecheesesociety.co.uk/product/brie-de-meaux-aoc/,,7 - 9 Weeks +,France,Cows,No,Pasteurised,Ille De France,Medium - Strong,Soft
Ribblesdale Honey Goat,https://www.thecheesesociety.co.uk/product/ribblesdale-honey-goat/,,2 - 3 Months +,,Goats,No,Pasteurised,Burgos,Mild - Medium,Soft
Cahill’s Porter,https://www.thecheesesociety.co.uk/product/cahills-porter/,,12 Weeks +,Ireland,Cows,No,Pasteurised,Limerick,Medium,Semi - Firm
Cashel Blue,https://www.thecheesesociety.co.uk/product/cheese-cashel-blue/,,8 Weeks +,Ireland,Cows,No,Pasteurised,Co. Tipperary,Medium,Blue
Chocolate & Chilli Cheddar – Easter Special,https://www.thecheesesociety.co.uk/product/chocolate-and-chilli-cheddar/,,12 Months,England,Cows,No,Unpasteurised,Emmental,Medium - Strong,Hard
Colston Bassett Stilton PDO,https://www.thecheesesociety.co.uk/product/colston-bassett-stilton-pdo/,,8 - 12 Weeks +,England,Cows,No,Pasteurised,Nottinghamshire,Medium - Strong,Blue
Colston Bassett Stilton PDO Wheel,https://www.thecheesesociety.co.uk/product/colston-bassett-stilton-pdo-2/,,8 - 12 Weeks +,England,Cows,No,Pasteurised,Nottinghamshire,Medium - Strong,Blue
Comte AOC 24 Months,https://www.thecheesesociety.co.uk/product/comte-aoc/,,24 Months,France,Cows,No,Unpasteurised,Jura,Medium - Strong,Firm
Cornish Yarg,https://www.thecheesesociety.co.uk/product/cornish-yarg/,,8 Weeks +,England,Cows,No,Pasteurised,Cornwall,Mild - Medium,Crumbly
Cote Hill Blue,https://www.thecheesesociety.co.uk/product/cote-hill-blue/,,4 - 8 Weeks +,England,Cows,No,Pasteurised,"Osgoodby, Lincolnshire",Medium,Blue
Crème Chèvre,https://www.thecheesesociety.co.uk/product/creme-chevre/,,1 Month +,Switzerland,Goats,No,Unpasteurised,Emmental,Mild - Medium,Soft
Dambuster,https://www.thecheesesociety.co.uk/product/dambuster/,,4 Months +,England,Cows,No,Pasteurised,"Preston, Lancashire",Medium,Firm
Kidderton Ash,https://www.thecheesesociety.co.uk/product/kidderton-ash-2/,,4 - 5 Weeks +,England,Goats,No,Pasteurised,"Salisbury, Wiltshire",Medium,Soft
Delice de Bourgogne,https://www.thecheesesociety.co.uk/product/delice-de-bourgogne/,,6 Weeks +,France,Cows,No,Pasteurised,Burgundy,Medium,Soft
Eggleston,https://www.thecheesesociety.co.uk/product/eggleston/,,4 Weeks +,England,Cows,No,Unpasteurised,,Medium,Washed Rind
Epoisses Halves,https://www.thecheesesociety.co.uk/product/half-epoisses-de-bourgogne-aoc/,,6 Weeks +,France,Cows,No,Unpasteurised,"Cote D'Or, Burgundy",Strong,Washed Rind
Ferme Chévre,https://www.thecheesesociety.co.uk/product/ferme-chevre/,,4 - 5 Weeks +,France,Goats,No,Pasteurised,Nantes,Medium,Soft
Fleur des Alpes,https://www.thecheesesociety.co.uk/product/fleur-des-alpes/,,6 - 8 Weeks,France,Cows,No,Pasteurised,Savoy,Medium - Strong,Washed Rind
Gjetost Brown Cheese,https://www.thecheesesociety.co.uk/product/norwegian-brown-cheese/,,6 - 8 Weeks,Norway,Mixed Milk,No,Pasteurised,Oslo,Medium,Semi - Firm
Goat Gouda with Fenugreek,https://www.thecheesesociety.co.uk/product/goat-gouda-with-fenugreek/,,8 - 12 Weeks +,Holland,Goats,No,Pasteurised,Woerden,Medium,Semi - Firm
Godminster Organic Cheddar Heart,https://www.thecheesesociety.co.uk/product/godminster-organic-heart/,,8 Months +,England,Cows,Yes,Pasteurised,"Bruton, Somerset",Medium,Firm
Gorgonzola Dolce DOP,https://www.thecheesesociety.co.uk/product/gorgonzola-dolce-dop/,,3 - 6 Months +,Italy,Cows,No,Pasteurised,Lombardia & Piedmont,Medium,Soft Blue
Aettis,https://www.thecheesesociety.co.uk/product/aettis/,,3 - 4 Weeks +,Switzerland,Cows,No,Unpasteurised,Jura,Medium,Hard
Alpine Meadows,https://www.thecheesesociety.co.uk/product/alpine-meadows/,,12 Months,Switzerland,Cows,No,Unpasteurised,Emmental,Medium - Strong,Hard
Baron Bigod Brie,https://www.thecheesesociety.co.uk/product/baron-bigod-brie-cheese/,,,England,Cows,No,Pasteurised,"Bungay, Suffolk",Medium,Soft
Bath Soft,https://www.thecheesesociety.co.uk/product/bath-soft/,,,England,Cows,Yes,Pasteurised,,Mild - Medium,Soft & Bloomy
Blackbomber Extra Mature,https://www.thecheesesociety.co.uk/product/cheese-blackbomber/,,8 Months +,Wales,Cows,No,Pasteurised,Snowdonia,Medium - Strong,Hard
Blacksticks Blue,https://www.thecheesesociety.co.uk/product/blacksticks-blue-cheese/,,2 Months +,England,Cows,No,Pasteurised,"Preston, Lancashire",Medium,Soft Blue
Bleu des Causses AOC,https://www.thecheesesociety.co.uk/product/bleu-des-causses-aoc/,,3 Months +,France,Cows,No,Unpasteurised,Aveyron,Medium,Soft Blue
Blue Monday,https://www.thecheesesociety.co.uk/product/blue-monday/,,6 - 8 Weeks,England,Cows,No,Pasteurised,"Thirsk, Yorkshire",Medium,Creamy
Brie de Meaux Dongé,https://www.thecheesesociety.co.uk/product/brie-de-meaux-aoc/,,7 - 9 Weeks +,France,Cows,No,Pasteurised,Ille De France,Medium - Strong,Soft
Ribblesdale Honey Goat,https://www.thecheesesociety.co.uk/product/ribblesdale-honey-goat/,,2 - 3 Months +,,Goats,No,Pasteurised,Burgos,Mild - Medium,Soft
Cahill’s Porter,https://www.thecheesesociety.co.uk/product/cahills-porter/,,12 Weeks +,Ireland,Cows,No,Pasteurised,Limerick,Medium,Semi - Firm
Cashel Blue,https://www.thecheesesociety.co.uk/product/cheese-cashel-blue/,,8 Weeks +,Ireland,Cows,No,Pasteurised,Co. Tipperary,Medium,Blue
Chocolate & Chilli Cheddar – Easter Special,https://www.thecheesesociety.co.uk/product/chocolate-and-chilli-cheddar/,,12 Months,England,Cows,No,Unpasteurised,Emmental,Medium - Strong,Hard
Colston Bassett Stilton PDO,https://www.thecheesesociety.co.uk/product/colston-bassett-stilton-pdo/,,8 - 12 Weeks +,England,Cows,No,Pasteurised,Nottinghamshire,Medium - Strong,Blue
Colston Bassett Stilton PDO Wheel,https://www.thecheesesociety.co.uk/product/colston-bassett-stilton-pdo-2/,,8 - 12 Weeks +,England,Cows,No,Pasteurised,Nottinghamshire,Medium - Strong,Blue
Comte AOC 24 Months,https://www.thecheesesociety.co.uk/product/comte-aoc/,,24 Months,France,Cows,No,Unpasteurised,Jura,Medium - Strong,Firm
Cornish Yarg,https://www.thecheesesociety.co.uk/product/cornish-yarg/,,8 Weeks +,England,Cows,No,Pasteurised,Cornwall,Mild - Medium,Crumbly
Cote Hill Blue,https://www.thecheesesociety.co.uk/product/cote-hill-blue/,,4 - 8 Weeks +,England,Cows,No,Pasteurised,"Osgoodby, Lincolnshire",Medium,Blue
Crème Chèvre,https://www.thecheesesociety.co.uk/product/creme-chevre/,,1 Month +,Switzerland,Goats,No,Unpasteurised,Emmental,Mild - Medium,Soft
Dambuster,https://www.thecheesesociety.co.uk/product/dambuster/,,4 Months +,England,Cows,No,Pasteurised,"Preston, Lancashire",Medium,Firm
Kidderton Ash,https://www.thecheesesociety.co.uk/product/kidderton-ash-2/,,4 - 5 Weeks +,England,Goats,No,Pasteurised,"Salisbury, Wiltshire",Medium,Soft
Delice de Bourgogne,https://www.thecheesesociety.co.uk/product/delice-de-bourgogne/,,6 Weeks +,France,Cows,No,Pasteurised,Burgundy,Medium,Soft
Eggleston,https://www.thecheesesociety.co.uk/product/eggleston/,,4 Weeks +,England,Cows,No,Unpasteurised,,Medium,Washed Rind
Epoisses Halves,https://www.thecheesesociety.co.uk/product/half-epoisses-de-bourgogne-aoc/,,6 Weeks +,France,Cows,No,Unpasteurised,"Cote D'Or, Burgundy",Strong,Washed Rind
Ferme Chévre,https://www.thecheesesociety.co.uk/product/ferme-chevre/,,4 - 5 Weeks +,France,Goats,No,Pasteurised,Nantes,Medium,Soft
Fleur des Alpes,https://www.thecheesesociety.co.uk/product/fleur-des-alpes/,,6 - 8 Weeks,France,Cows,No,Pasteurised,Savoy,Medium - Strong,Washed Rind
Gjetost Brown Cheese,https://www.thecheesesociety.co.uk/product/norwegian-brown-cheese/,,6 - 8 Weeks,Norway,Mixed Milk,No,Pasteurised,Oslo,Medium,Semi - Firm
Goat Gouda with Fenugreek,https://www.thecheesesociety.co.uk/product/goat-gouda-with-fenugreek/,,8 - 12 Weeks +,Holland,Goats,No,Pasteurised,Woerden,Medium,Semi - Firm
Godminster Organic Cheddar Heart,https://www.thecheesesociety.co.uk/product/godminster-organic-heart/,,8 Months +,England,Cows,Yes,Pasteurised,"Bruton, Somerset",Medium,Firm
Gorgonzola Dolce DOP,https://www.thecheesesociety.co.uk/product/gorgonzola-dolce-dop/,,3 - 6 Months +,Italy,Cows,No,Pasteurised,Lombardia & Piedmont,Medium,Soft Blue
